Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
RACS_test4_1.05_1441-06A,14:41:23,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1008-06A,10:08:17,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1033-06A,10:33:06,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1122-06A,11:22:46,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1212-06A,12:12:25,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1237-06A,12:37:14,-6:17:59,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0320-43A,3:20:56,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0354-43A,3:54:25,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0427-43A,4:27:54,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0501-43A,5:01:24,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0534-43A,5:34:53,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0341-50A,3:41:32,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0418-50A,4:18:28,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0455-50A,4:55:23,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0532-50A,5:32:18,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0559-56A,6:00:00,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0304-50A,3:04:37,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0310-56A,3:10:35,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0352-56A,3:52:56,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0435-56A,4:35:18,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0517-56A,5:17:39,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0547-62A,5:47:35,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0318-62A,3:18:37,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0408-62A,4:08:17,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0457-62A,4:57:56,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2005-43A,20:05:35,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2039-43A,20:39:04,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2146-43A,21:46:03,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2219-43A,22:19:32,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2253-43A,22:53:01,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2112-43A,21:12:33,-43:52:21,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2018-50A,20:18:28,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2132-50A,21:32:18,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2055-50A,20:55:23,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2007-56A,20:07:04,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2049-56A,20:49:25,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2209-50A,22:09:14,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2246-50A,22:46:09,-50:05:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2131-56A,21:31:46,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2041-62A,20:41:23,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2214-56A,22:14:07,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2256-56A,22:56:28,-56:18:23,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2131-62A,21:31:02,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_2220-62A,22:20:41,-62:29:55,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1739-25A,17:39:37,-25:07:47,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1806-25A,18:06:48,-25:07:47,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1753-18A,17:53:27,-18:51:45,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1724-31A,17:24:42,-31:23:15,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_1752-31A,17:52:56,-31:23:15,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0530-68A,5:30:00,-68:40:17,square_6x6,1.05,45.0,888.0,yes
RACS_test4_1.05_0127-73A,1:27:14,-73:01:54,square_6x6,1.05,45.0,888.0,yes
