,Name,RA,Dec,Footprint,Pitch,Rotation,Frequency,Interleaved
54,RACS_test4_1.05_0553-12A,5:53:41.052,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
55,RACS_test4_1.05_0618-12A,6:18:56.8421,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
56,RACS_test4_1.05_0600-06A,6:00:00,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
57,RACS_test4_1.05_0501-43A,5:01:23.7199,-43:52:21.3708,square_6x6,1.05,45.0,888.0,yes
58,RACS_test4_1.05_0510-06A,5:10:20.689,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
59,RACS_test4_1.05_0514-18A,5:14:10.909,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
60,RACS_test4_1.05_0320-43A,3:20:55.813,-43:52:21.3708,square_6x6,1.05,45.0,888.0,yes
61,RACS_test4_1.05_0347-12A,3:47:22.105,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
62,RACS_test4_1.05_0421-18A,4:21:49.0901,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
63,RACS_test4_1.05_0404-25A,4:04:31.698,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
64,RACS_test4_1.05_0337-25A,3:37:21.509,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
65,RACS_test4_1.05_0306-06A,3:06:12.413,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
66,RACS_test4_1.05_0310-25A,3:10:11.3201,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
67,RACS_test4_1.05_0202-37A,2:02:33.191,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
68,RACS_test4_1.05_0131-37A,1:31:54.893,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
69,RACS_test4_1.05_0216-06A,2:16:33.103,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
70,RACS_test4_1.05_0050-12A,0:50:31.578,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
71,RACS_test4_1.05_0144-18A,1:44:43.6361,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
72,RACS_test4_1.05_2359-25A,0:00:00,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
73,RACS_test4_1.05_0102-06A,1:02:04.1371,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
74,RACS_test4_1.05_2332-25A,23:32:49.811,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
75,RACS_test4_1.05_2331-31A,23:31:45.882,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
76,RACS_test4_1.05_0028-31A,0:28:14.117,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
77,RACS_test4_1.05_2025-37A,20:25:31.914,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
78,RACS_test4_1.05_2056-37A,20:56:10.212,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
79,RACS_test4_1.05_2056-18A,20:56:43.6361,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
80,RACS_test4_1.05_2004-06A,20:04:08.275,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
81,RACS_test4_1.05_2028-06A,20:28:57.931,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
82,RACS_test4_1.05_2004-18A,20:04:21.8179,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
83,RACS_test4_1.05_1853-37A,18:53:37.021,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
84,RACS_test4_1.05_1912-18A,19:12:00,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
85,RACS_test4_1.05_1822-37A,18:22:58.723,-37:38:10.68,square_6x6,1.05,45.0,888.0,yes
86,RACS_test4_1.05_1714-73A,17:14:09.4469,-73:56:46.1796,square_6x6,1.05,45.0,888.0,yes
87,RACS_test4_1.05_1630-68A,16:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
88,RACS_test4_1.05_1730-68A,17:30:00,-68:40:17.3604,square_6x6,1.05,45.0,888.0,yes
89,RACS_test4_1.05_1600-12A,16:00:00,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
90,RACS_test4_1.05_1710-06A,17:10:20.689,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
91,RACS_test4_1.05_1701-18A,17:01:05.454,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
92,RACS_test4_1.05_1645-25A,16:45:16.981,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
93,RACS_test4_1.05_1503-31A,15:03:31.764,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
94,RACS_test4_1.05_1608-18A,16:08:43.6361,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
95,RACS_test4_1.05_1407-31A,14:07:03.529,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
96,RACS_test4_1.05_1531-06A,15:31:02.0681,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
97,RACS_test4_1.05_1516-18A,15:16:21.8179,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
98,RACS_test4_1.05_1506-06A,15:06:12.413,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
99,RACS_test4_1.05_1441-06A,14:41:22.758,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
100,RACS_test4_1.05_1242-31A,12:42:21.1759,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
101,RACS_test4_1.05_1416-06A,14:16:33.103,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
102,RACS_test4_1.05_1351-06A,13:51:43.4479,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
103,RACS_test4_1.05_1338-31A,13:38:49.411,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
104,RACS_test4_1.05_1328-12A,13:28:25.2629,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
105,RACS_test4_1.05_1310-31A,13:10:35.2939,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
106,RACS_test4_1.05_1117-31A,11:17:38.8229,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
107,RACS_test4_1.05_1237-06A,12:37:14.4821,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
108,RACS_test4_1.05_1212-06A,12:12:24.827,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
109,RACS_test4_1.05_1056-12A,10:56:50.526,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
110,RACS_test4_1.05_1145-31A,11:45:52.9409,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
111,RACS_test4_1.05_1122-06A,11:22:45.517,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
112,RACS_test4_1.05_1031-12A,10:31:34.7359,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
113,RACS_test4_1.05_1033-06A,10:33:06.2059,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
114,RACS_test4_1.05_1028-18A,10:28:21.8179,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
115,RACS_test4_1.05_1008-06A,10:08:16.5509,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
116,RACS_test4_1.05_0943-06A,9:43:26.8961,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
117,RACS_test4_1.05_0936-18A,9:36:00,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
118,RACS_test4_1.05_0909-18A,9:09:49.0901,-18:51:45.4284,square_6x6,1.05,45.0,888.0,yes
119,RACS_test4_1.05_0903-25A,9:03:23.773,-25:07:47.2404,square_6x6,1.05,45.0,888.0,yes
120,RACS_test4_1.05_0825-12A,8:25:15.7889,-12:35:08.4696,square_6x6,1.05,45.0,888.0,yes
121,RACS_test4_1.05_0804-06A,8:04:08.275,-6:17:58.7292,square_6x6,1.05,45.0,888.0,yes
122,RACS_test4_1.05_0635-31A,6:35:17.647,-31:23:14.7696,square_6x6,1.05,45.0,888.0,yes
